key,price,total_area,living_area,kitchen_area,land,floor_number,total_floors,year,bedrooms_number,passenger_lifts_number,cargo_lifts_number,material_type,balconies_number,loggias_number,lng,lat,underground
https://www.cian.ru/sale/suburban/238387572/,2900000,1000.0,,,9557.0,,2,,8,,,,,,37.15353,55.473801,False
https://solnechnogorsk.cian.ru/sale/suburban/263759723/,13000000,173.0,,,1402.0,,,,,,,,,,36.917222,56.031032,False
https://istra.cian.ru/sale/suburban/263617181/,13990000,168.0,,,600.0,,2,2021,4,,,brick,,,36.800788,55.863444,False
https://odintsovo.cian.ru/sale/suburban/254433544/,75000000,780.0,,,2732.0,,2,,4,,,,,,37.103934,55.666762,False
https://odintsovo.cian.ru/sale/suburban/261509661/,105000000,1071.7,,,2622.0,,3,,4,,,,,,37.159369,55.698041,False
https://odintsovo.cian.ru/sale/suburban/259786861/,127270000,1484.9,,,2468.0,,2,,4,,,,,,37.159369,55.698041,False
https://odintsovo.cian.ru/sale/suburban/251856246/,109340000,1019.3,,,2176.0,,3,,4,,,,,,37.159369,55.698041,False
https://odintsovo.cian.ru/sale/suburban/261422146/,210000000,830.0,,,2000.0,,3,,4,,,,,,37.132275,55.685142,False
https://odintsovo.cian.ru/sale/suburban/263497224/,599990,800.0,,,1900.0,,4,,4,,,,,,37.146442,55.693957,False
https://odintsovo.cian.ru/sale/suburban/251856275/,105000000,1071.3,,,1872.0,,3,,4,,,,,,37.159369,55.698041,False
https://www.cian.ru/sale/suburban/259763912/,8399990,2100.0,,,28000.0,,3,,7,,,,,,38.626156,54.471807,False
https://odintsovo.cian.ru/sale/suburban/261509660/,109000000,1090.3,,,2055.0,,3,,3,,,,,,37.159369,55.698041,False
https://www.cian.ru/sale/suburban/257249860/,110000000,520.0,,,2300.0,,3,,,,,,,,37.318299,55.51878,False
https://odintsovo.cian.ru/sale/suburban/262978397/,2499000,960.0,,,1600.0,,4,,6,,,,,,37.253395,55.737801,False
https://odintsovo.cian.ru/sale/suburban/238350994/,9400000,1818.0,,,3700.0,,3,,6,,,,,,37.213789,55.732332,False
https://odintsovo.cian.ru/sale/suburban/259383313/,100000000,1100.9,,,1600.0,,3,,3,,,,,,37.159369,55.698041,False
https://odintsovo.cian.ru/sale/suburban/248882835/,1499990,350.0,,,1700.0,,2,,3,,,,,,37.286238,55.740375,False
https://solnechnogorsk.cian.ru/sale/suburban/245033703/,16180000,234.0,,,602.0,,,,,,,,,,37.229329,55.948634,False
https://odintsovo.cian.ru/sale/suburban/260454473/,123999990,700.0,,,4400.0,,3,,7,,,,,,36.942093,55.718172,False
https://www.cian.ru/sale/flat/263173819/,16801155,43.47,,,0,9,55,2024,,,,monolith,,,37.6226208095079,55.8000719095502,True
https://www.cian.ru/sale/flat/244791518/,104448531,201.3,,,0,14,15,2021,,,,monolith,,,37.6349410489341,55.8077844836563,True
https://www.cian.ru/sale/flat/263284581/,14747000,52.4,25.2,10.5,0,3,29,2023,,,,monolith,,1,37.7402135618318,55.8137067826208,True
https://www.cian.ru/sale/flat/258241550/,15119620,38.6,15.4,14.8,0,17,22,2024,,2,1,monolith,,,37.6888562803334,55.7508977048485,False
https://odintsovo.cian.ru/sale/flat/261548943/,29966063,116.8,106.2,,0,1,4,2019,,,,monolith,,,37.28807,55.743482,False
https://www.cian.ru/sale/flat/263224003/,54600258,131.8,79.1,17.1,0,22,28,2022,,,,monolith,,,37.4931110099249,55.700805940921,True
https://vidnoye.cian.ru/sale/flat/263449570/,4278289,31.43,9.4,9.9,0,17,17,2023,,1,1,monolith,,,37.8240893756394,55.5268290034006,False
https://domodedovo.cian.ru/sale/flat/263389461/,8892882,78.92,50.5,5.9,0,2,17,2023,,1,1,monolith,,,37.7398141109608,55.4960475949872,False
https://odintsovo.cian.ru/sale/flat/261548949/,20660823,86.5,78.6,,0,4,4,2019,,,,monolith,,,37.2875844489458,55.74382787595,False
https://www.cian.ru/sale/flat/261741684/,21293095,82.6,40.2,,0,16,52,2023,,,,monolith,,,37.4035939908241,55.8307263300397,True
https://www.cian.ru/sale/flat/262587993/,26738930,83.9,30.0,29.1,0,4,13,2024,,1,1,monolith,,,37.4501558915076,55.7510931578694,True
https://www.cian.ru/sale/flat/260010424/,26624000,83.2,,,0,2,23,2023,,1,1,monolith,,,37.4828943464351,55.867318564537,True
https://www.cian.ru/sale/flat/247593573/,30382167,114.09,66.2,13.3,0,2,10,2021,,1,1,monolith,,1,37.4237905706115,55.8199841754724,True
https://www.cian.ru/sale/flat/261741656/,11902959,40.9,13.3,,0,10,20,2022,,,,monolith,,,37.4025433055568,55.83088488617435,True
https://www.cian.ru/sale/flat/263238298/,35681280,110.4,68.4,15.5,0,2,11,2021,,1,1,monolith,,,37.6981814573215,55.7802046722795,True
https://www.cian.ru/sale/flat/258857009/,53357220,124.55,83.5,,0,23,23,2021,,,,monolith,,,37.456821899287,55.7322554534856,True
https://www.cian.ru/sale/flat/258942203/,12000005,37.88,,,0,6,43,2022,,2,1,monolith,,,37.5470009217225,55.8608718739335,True
https://www.cian.ru/sale/flat/259691434/,12700000,29.7,,,0,8,29,2021,,2,1,monolith,,,37.579205,55.808715,True
https://www.cian.ru/sale/flat/259854643/,27666824,83.12,,,0,38,43,2022,,2,1,monolith,,,37.5470009217225,55.8608718739335,True
https://www.cian.ru/sale/flat/258580382/,10980000,35.77,13.5,11.2,0,14,29,2023,,,,monolith,,,37.7402135618318,55.8137067826208,True
https://www.cian.ru/sale/flat/259261354/,19789169,73.22,38.1,14.0,0,26,29,2023,,,,monolith,,,37.7402135618318,55.8137067826208,True
https://www.cian.ru/sale/flat/260078663/,68320000,85.4,,,0,15,16,2022,,2,1,monolith,,,37.5809977767897,55.779828016636,True
https://www.cian.ru/sale/flat/262587765/,27096000,80.0,34.2,22.8,0,3,13,2024,,1,1,monolith,,,37.4501558915076,55.7510931578694,True
https://www.cian.ru/sale/flat/254444030/,30162141,85.4,54.2,8.6,0,11,12,2023,,,,monolith,,,37.5167124414552,55.7598420165386,True
https://www.cian.ru/sale/flat/263515932/,48000766,137.3,89.6,6.1,0,32,56,2024,,,,monolith,,,37.4925160754862,55.7083585149335,False
https://www.cian.ru/sale/flat/258643256/,18209400,44.5,14.1,18.8,0,13,22,2024,,1,2,monolith,,,37.4530200422965,55.750321817573,True
https://www.cian.ru/sale/flat/254287064/,37830000,96.5,,,0,2,41,2021,,1,2,monolith,,,37.5093469008494,55.7430136211043,True
https://www.cian.ru/sale/flat/262546993/,48290018,103.9,51.9,,0,24,27,2023,,,,monolith,,,37.6356843722537,55.7174119199961,False
https://www.cian.ru/sale/flat/261273512/,30000000,51.0,,,0,30,65,2020,,4,,monolith,,,37.533742,55.751138,True
https://www.cian.ru/sale/flat/261274131/,31000000,51.0,,,0,29,65,2020,,4,,monolith,,,37.533742,55.751138,True
https://www.cian.ru/sale/flat/262952897/,12792040,79.2,43.4,13.9,0,9,25,2016,,2,1,panel,,2,37.931713,55.703185,True
https://www.cian.ru/sale/flat/263659688/,41350000,56.0,24.0,20.0,0,4,13,1973,,1,1,brick,0,1,37.594036,55.744389,True
https://www.cian.ru/sale/flat/263228059/,18006900,93.3,60.1,10.0,0,39,45,2013,,4,4,monolith,,1,37.671085,55.579688,False
https://www.cian.ru/sale/flat/239786376/,15662900,49.1,,,0,3,5,2015,,,,monolithBrick,,1,37.415308,55.824845,True
https://www.cian.ru/sale/flat/258355471/,51000000,63.1,22.2,20.0,0,2,13,,,1,1,monolith,0,1,37.572351,55.735713,True
https://www.cian.ru/sale/flat/263648314/,204990000,176.8,,,0,7,12,2014,,1,,,,1,37.572836,55.725118,True
